,,,,,,,,,,,,,,,,,,,,
Question,Removing of not required data.,,,,,,,,,,,,,,,,,,,
Answer,Did cleaning of data by removing columns and by filling null values or dropping null values as required.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Question,Total number of programming lanuages.,,,,,,,,,,,,,,,,,,,
Answer,4818,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Question,How many programming languauge appeared in last 20 years.,,,,,,,,,,,,,,,,,,,
Answer,2218,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Question,What are the types of programming languages.,,,,,,,,,,,,,,,,,,,
Answer,Row Labels,Count of title,,,,,,,,,,,,,,,,,,
,application,122,,,,,,,,,,,,,,,,,,
,assembly,45,,,,,,,,,,,,,,,,,,
,barCodeFormat,9,,,,,,,,,,,,,,,,,,
,binaryDataFormat,54,,,,,,,,,,,,,,,,,,
,binaryExecutable,3,,,,,,,,,,,,,,,,,,
,bytecode,6,,,,,,,,,,,,,,,,,,
,characterEncoding,5,,,,,,,,,,,,,,,,,,
,cloud,3,,,,,,,,,,,,,,,,,,
,compiler,25,,,,,,,,,,,,,,,,,,
,computingMachine,15,,,,,,,,,,,,,,,,,,
,configFormat,8,,,,,,,,,,,,,,,,,,
,contractLanguage,7,,,,,,,,,,,,,,,,,,
,database,35,,,,,,,,,,,,,,,,,,
,dataNotation,68,,,,,,,,,,,,,,,,,,
,dataStructure,1,,,,,,,,,,,,,,,,,,
,dataValidationLanguage,6,,,,,,,,,,,,,,,,,,
,decompiler,9,,,,,,,,,,,,,,,,,,
,diffFormat,3,,,,,,,,,,,,,,,,,,
,distribution,1,,,,,,,,,,,,,,,,,,
,editor,63,,,,,,,,,,,,,,,,,,
,equation,22,,,,,,,,,,,,,,,,,,
,esolang,62,,,,,,,,,,,,,,,,,,
,filesystem,13,,,,,,,,,,,,,,,,,,
,font,1,,,,,,,,,,,,,,,,,,
,framework,13,,,,,,,,,,,,,,,,,,
,grammarLanguage,67,,,,,,,,,,,,,,,,,,
,hardwareDescriptionLanguage,4,,,,,,,,,,,,,,,,,,
,hashFunction,10,,,,,,,,,,,,,,,,,,
,headerLang,3,,,,,,,,,,,,,,,,,,
,idl,20,,,,,,,,,,,,,,,,,,
,interpreter,5,,,,,,,,,,,,,,,,,,
,ir,22,,,,,,,,,,,,,,,,,,
,isa,22,,,,,,,,,,,,,,,,,,
,jsonFormat,14,,,,,,,,,,,,,,,,,,
,knowledgeBase,5,,,,,,,,,,,,,,,,,,
,library,47,,,,,,,,,,,,,,,,,,
,linter,1,,,,,,,,,,,,,,,,,,
,musicalNotation,3,,,,,,,,,,,,,,,,,,
,notation,36,,,,,,,,,,,,,,,,,,
,numeralSystem,7,,,,,,,,,,,,,,,,,,
,optimizingCompiler,1,,,,,,,,,,,,,,,,,,
,os,13,,,,,,,,,,,,,,,,,,
,packageManager,59,,,,,,,,,,,,,,,,,,
,pl,3372,,,,,,,,,,,,,,,,,,
,plzoo,12,,,,,,,,,,,,,,,,,,
,protocol,49,,,,,,,,,,,,,,,,,,
,queryLanguage,94,,,,,,,,,,,,,,,,,,
,schema,12,,,,,,,,,,,,,,,,,,
,standard,21,,,,,,,,,,,,,,,,,,
,stylesheetLanguage,5,,,,,,,,,,,,,,,,,,
,template,55,,,,,,,,,,,,,,,,,,
,textDataFormat,50,,,,,,,,,,,,,,,,,,
,textEncodingFormat,2,,,,,,,,,,,,,,,,,,
,textMarkup,97,,,,,,,,,,,,,,,,,,
,timeFormat,3,,,,,,,,,,,,,,,,,,
,unixApplication,2,,,,,,,,,,,,,,,,,,
,visual,18,,,,,,,,,,,,,,,,,,
,vm,10,,,,,,,,,,,,,,,,,,
,webApi,1,,,,,,,,,,,,,,,,,,
,wikiMarkup,7,,,,,,,,,,,,,,,,,,
,xmlFormat,69,,,,,,,,,,,,,,,,,,
,yamlFormat,1,,,,,,,,,,,,,,,,,,
,Grand Total,4818,,,,,,,,,,,,,,,,,,
