title,appeared,type,rank,factCount,lastActivity,exampleCount,bookCount,paperCount,numberOfUsers,numberOfJobs,githubBigQuery.repos,wikipedia.dailyPageViews
Java,1995,pl,0,920,2022,20,401,37,5550123,85206,369548,5242
JavaScript,1995,pl,1,818,2022,54,351,48,5962666,63993,1099879,4264
C,1972,pl,2,426,2022,26,78,19,3793768,59919,292876,6268
Python,1991,pl,3,691,2022,35,342,52,2818037,46976,550171,7204
SQL,1974,queryLanguage,4,324,2022,6,182,37,7179119,219617,641,3084
C++,1985,pl,5,461,2022,34,128,6,4128238,61098,277733,4307
HTML,1991,textMarkup,6,274,2022,6,116,7,5570873,69531,777550,4897
Linux,1991,os,7,27,2018,0,2,0,3229009,32007,0,5655
XML,1996,dataNotation,8,274,2022,4,151,37,1917452,42277,2700,2861
PHP,1995,pl,9,603,2022,15,274,26,2356101,30349,339509,3151
Perl,1987,pl,10,480,2022,18,276,9,491984,13482,101542,1299
MATLAB,1984,pl,11,359,2022,11,177,35,2661579,32228,2791,2338
Ruby,1995,pl,12,359,2022,23,65,13,357730,11438,374367,1731
C#,2000,pl,13,319,2022,25,3,0,217261,19747,133078,2794
Android,2008,os,14,53,2022,1,2,0,975958,9263,0,9920
MySQL,1995,queryLanguage,15,267,2022,9,168,16,2608362,47466,0,2139
Fortran,1957,pl,16,586,2022,13,321,37,165151,1931,2820,2052
CSS,1996,stylesheetLanguage,17,261,2018,8,102,2,2881846,45617,808537,1937
R,1993,pl,18,229,2022,11,40,9,1075613,14173,29347,3651
JSON,2001,dataNotation,19,127,2022,9,17,10,355741,9228,6,3994
iOS,2007,os,20,35,2018,0,9,0,535588,5010,0,6910
Go,2009,pl,21,329,2022,20,5,26,525179,6403,91470,2602
Scala,2004,pl,22,390,2022,12,130,26,139471,4525,34541,1496
Swift,2014,pl,23,354,2022,17,125,19,362590,3754,42531,1501
Ada,1980,pl,24,410,2022,13,64,50,12116,2184,2172,768
COBOL,1959,pl,25,471,2022,6,301,20,187188,2616,667,1302
Rust,2010,pl,26,351,2023,14,65,36,302193,141,15753,1159
PostgreSQL,1986,queryLanguage,27,130,2022,5,40,3,340751,13084,0,1262
Kotlin,2011,pl,28,367,2023,12,99,16,130094,5276,7829,1638
Arduino Programming Language,2005,pl,29,362,2022,3,265,28,527398,598,20461,2640
PowerShell,2006,pl,30,270,2022,7,107,3,208708,19576,33120,1173
Pascal,1970,pl,31,364,2022,10,145,21,7708,102,10149,1116
Haskell,1990,pl,32,315,2022,23,70,34,37628,495,29991,1177
TypeScript,2012,pl,33,317,2023,69,56,8,216959,1542,47650,1098
SAS,1976,pl,34,224,2022,5,96,10,361103,4682,1350,151
ARM,1985,assembly,35,152,2022,4,52,32,123423,7695,0,2538
Lisp,1958,pl,36,173,2022,2,75,25,61481,303,0,1517
Lua,1993,pl,37,219,2022,8,35,13,58860,1106,34346,1069
Julia,2012,pl,38,338,2023,22,22,36,81911,85,5895,640
Prolog,1972,pl,39,260,2022,14,100,23,51482,446,11137,1127
Node.js,2009,pl,40,177,2022,5,79,18,374143,6864,0,-1
HTTP,1989,protocol,41,97,2022,2,12,2,33780,771996,0,6702
Objective-C,1984,pl,42,214,2022,25,15,0,12380,4276,167113,910
Clojure,2007,pl,43,267,2022,14,60,7,44933,469,25889,610
Scheme,1970,pl,44,181,2022,10,24,23,3796,1174,7221,705
Assembly language,1960,assembly,45,83,2022,2,0,0,26543,1329,47629,2352
Erlang,1986,pl,46,265,2022,16,29,37,27148,308,14920,857
Bash,1989,pl,47,183,2022,14,33,1,61747,4774,640005,1271
JQuery,2006,library,48,51,2022,1,2,0,1553841,24780,0,886
Mathematica,1988,pl,49,190,2022,5,72,21,148741,1553,2662,228
ISBN,1970,schema,50,42,2022,1,3,18,49430,53,0,9882
Elixir,2011,pl,51,281,2022,36,31,3,55882,214,6816,413
CUDA,2007,pl,52,247,2018,6,35,29,38623,769,4379,1966
Dart,2011,pl,53,271,2022,12,30,6,38325,208,5727,389
Emacs,1976,editor,54,20,2022,0,0,0,64338,0,0,605
Modula-2,1978,pl,55,432,2022,6,1,0,655,0,115,87
MongoDB,2009,application,56,53,2022,2,2,0,318335,3787,0,1760
Visual Basic,1991,pl,57,102,2022,6,0,0,15898,3294,10510,1574
Tcl,1988,pl,58,235,2022,7,26,2,3106,0,8111,567
ActionScript,1998,pl,59,241,2022,6,108,2,1630,88,8748,282
